track_name,artists,danceability,energy,valence,tempo,acousticness,instrumentalness,loudness,speechiness,track_genre,lyrics,lyrics_sentiment,mood
Me sientia tan seguro
Pero aparecio uno que me la puso
Y pensandolo bien ahora que lo calculo
Con razon tu no me entiendes y te noto tan
Inmaduro hablaste conmigo en 30 año ya te predije el futuro
El que a la guerra no da frente deberia mori de
Espaldo diganme en cuando pedazo ma e quieren que lo palta
Tu letra nunca van a da como la mia impactan
Te tengo de samba ya otra pela ma no aguanta
Lo unico que a ti te salva e que
Depues de la tormenta siempre llegara la calma
Pero no crea que ya acabe todavia falta
Traje ma de 300 barra esto es Sparta
Que nadie puede de e que tu me ta hablando Lo verso que tu estructura
Uno lo conjuga jugando cualquiera hace una cancion mejor que tu
Ata tarariando ando combianando palabra tu cree e que toy gagiando
Nadie no me conoce no tengo un contrato
Le tiro alofoke y me ignora a cada rato
No toy verificao en instagram y me siguen 3 gato
Mi video no pasan de 20 mil views pol ma que
Trato
Mi ultimo cheke fue de uno veinti cuatro
Y 2000 y pico e lo que mi tema han generado
No me tire patra ta bien pero reponde algo
Que se siente que un don nadie te mata del anonimato
En velda velda a quien tu cree intimida
Segun tu no ahy competencia pero en que e que ete priva
Tu silencio le va da razon a to lo que yo diga
Tu rap ta ma atra TRA TRA ma tra que Chezina
Tu sacate jumpealo pero
Tu rap no prende
Le cantate a lo niño
Con tu rap no se aprende
Pegao en Rusia alla el español ni se entiende
Muy bueno haciendo lo demas pero tu rap no vende
Y lo 40 mil dalo de ofrenda o mejor aun daselo aquel que mejor te
Defienda de que vale lo economico o to la fama que
Tenga te ta haciendo pasar verguenza este cero a la izquiera
Le voy hace peor que a ti a el que al que te defienda
Ante de repondeme cualquiera lo piensa
Cuando te digan que ere un muelto no te ofenda
Siente orgulloso que te mato esta leyenda
ENZO
GradoZero
Rap De Marca",0.15,happy
Mi Error Preferido,Cyclo;Celia Dail,0.772,0.72,0.735,106.0,0.679,0.000643,-4.653,0.0539,spanish,"We're gonna run through the fire, we're gonna live and will live
Kiss now I swear that it's fine, it was the best time
I will go crazy if you are, and now, I'm holding your hand
He's got me feeling again, that is my just fail

Tan corto el amor, pero tan largo el olvido
Ya no la quiero, pero la quiero conmigo
Jamás entenderé el idioma de ese tal cupido
Le dije que no, pero su flecha me dejó herido
Escribo solo y solo moriré si no es contigo
Devuélveme el aire con tus suspiros
Salí detrás de tu voz y me encontré perdido
Fuiste mi error preferido
Quiero sentarme de nuevo a tu lado y poder escucharte
Comunicarme contigo con solo a los ojos mirarte
Y sigues dando vueltas tan dentro de mí
Que tengo mis ojos pegados a tu perfil
Sé que siempre fui de dar más que recibir
Pero tú eras todo lo que tenía y ya lo perdí

We're gonna run through the fire, we're gonna live and will live
Kiss now I swear that it's fine, it was the best time
I will go crazy if you are, and now, I'm holding your hand
He's got me feeling again, that is my just fail

Podrá nublarse el sol, podrá secarse el mar
Podrá llover lo más fuerte que quiera
Perdimos el control, pero sabes manejar
Y el amor volverá a la carretera
No le temes a la vida, me encanta cómo tú juegas
Eres una chica mala, vivamos a tu manera
Más te quiero cuanto más me duela
Hazme caer al suelo y déjame tu suela
Yeah, lo sabes
Cuanto más peligroso, más me late
Secuestró mi corazón y no pidió rescate
Si no es ella, no habrá, Dios que me mate
Amor, odio, odio, amor y así vamos
Te vas, vuelves cuando te llamo
Dicen que vivimos un amor insano
Y es que nos encanta el peligro al ser humano

No importará, cuando esté contigo ya nada me importará
No importará, cuando esté contigo ya nada me importará
Así que, pórtate mal, que ya no importará, yeah
Así que, pórtate mal, que así me gustas más, yeah

We're gonna run through the fire, we're gonna live and will live
Kiss now I swear that it's fine, it was the best time
I will go crazy if you are, and now, I'm holding your hand
He's got me feeling again, that is my just fail",0.07727272727272727,happy
High Grade,Dirt Monkey,0.709,0.975,0.304,149.929,0.0396,0.498,-1.587,0.167,dubstep,"Ladies and gentlemen it's  high grade
What the f-?
Uuhh!",0.2,neutral
A Willie Nice Christmas,Kacey Musgraves;Willie Nelson,0.622,0.636,0.759,151.2,0.775,0.000161,-7.397,0.0352,country,"I'm gonna wrap my presents up in red bandanas
And leave some special cookies out for Santa
Throw all my troubles to the wind 'til we're back on the road again
Here's to finding your own little piece on Earth

And I hope you have a really, a really, really, Willie nice Christmas
If you're in Luckenbach or Waikiki
I hope you have a really, a really, really, Willie nice Christmas
And may we all stay higher than the angel on the top of the tree

Don't get caught up in the hustle and the bustle
This time of year ain't supposed to be so stressful
Here is to easy silent nights and finding your own paradise
With whatever family you might call your own

And I hope you have a really, a really, really, Willie nice Christmas
And may it be a lot more green than blue
Yeah, I hope you have a really, a really, really, Willie nice Christmas
And, Willie, happy New Year, too

Have a Willie happy Hanukkah
Feliz Navidad-ukkah
A Willie happy Kwanzaa 'cause it's all the same
A Mele Kalikimaka, hey
Whatever way you wanna say
Just have yourself a

Really, really, really, a really, really, Willie nice Christmas
Whether you're in Luckenbach or Waikiki
I hope you have a really, a really, really, Willie nice Christmas
May we all get higher than the angel on the top of the tree
And may we all stay higher than the angel on the top of the tree

Happy holidays from Willie and me
And merry Christmas, everybody",0.3635927729677729,happy
En Paz Conmigo,Xenon;Shé,0.497,0.838,0.481,80.856,0.532,7.67e-05,-7.763,0.323,spanish,"Okay

Me he castigado más de lo que sé
Ahora lo entiendo, el tiempo me lo hizo ver
Golpeabas a este lobo solitario
Y ahora si te muerde vas diciendo que es el malo
Con un trébol y las ganas de tenerte
Me quiere, no me quiere, pero ¿Dónde está el ""Me quiero""?
La vida en su amplitud, se mide lo que sientes
Y si dejas de sentir, amigo mío, ya estás muerto
Escapando en esta línea como Walter White
Subiendo a cimas, disfrutando de tu Skyline
Homicida, poca vida y mucho odio
Tú no me enamoraste, era falta de amor propio
Entre tus manos un recuerdo frágil
Buscado y reclamado como en África es el marfil
Le presenté a mi enemigo allí
Y ella confusa dijo ""Solo te veo a ti""

Busco todo aquello que fue, quemando el tiempo
Pero nadie dijo perder, hoy estoy hecho
De aquello que nunca encontré, pido lo siento
Por el daño que me causé
Busco todo aquello que fue, quemando el tiempo
Pero nadie dijo perder, hoy estoy hecho
De aquello que nunca encontré, pido lo siento
Por el daño que me causé

Media vida con la herida a cuestas, y sé que cuesta
Salir pa'lante y ver la puerta abierta
El daño que sentí, más que por ti, me lo hice solo
Pensando que iba a morir por no tenerte cerca, ah
Y es que pedí perdón a todos, menos a mí mismo
Y creo que nunca me perdoné quererte mal a ti
Pero ya es tarde y todo el amor que nunca pude darte
Lo invertiré en olvidarte y perdonarme a mí
Creo que me debo una disculpa, más bien un abrazo eterno
Por todas las noches de sufrimiento
La herida de las sombra solo se cura con luz
Aunque hay heridas que no curas ni siquiera tú (ni siquiera tú)
Voy a quererme y a dejar de herirme
Voy a decirte ""Adiós, adiós"" pero sin despedirme
Voy a encontrarme sin dolerme y sin tener que irme
Hoy voy a levantarme y a pisar con paso firme, firme

Busco todo aquello que fue, quemando el tiempo
Pero nadie dijo perder, hoy estoy hecho
De aquello que nunca encontré, pido lo siento
Por el daño que me causé
Busco todo aquello que fue, quemando el tiempo
Pero nadie dijo perder, hoy estoy hecho
De aquello que nunca encontré, pido lo siento
Por el daño que me causé

¿Cómo perderte en mi cabeza?
¿Cómo escribir con la certeza de que todo saldrá bien?
Que escribir esto que siento me salva
Contra cualquiera que haga daño aquí debajo de esta piel
Honestamente me dirijo a quien se salva
A quien escucha al corazón y se protege aquí su alma
Me debo tanto y no, no se paga
El orgullo es el principio pa' apartar a quien te apaga

Diles a todos que no he muerto, que el Shé sigue vivo
Esta puta mente ha sido mi único enemigo
Diles que estoy de vuelta, que crucé esa puerta
Y superé todas las cosas que tenían que ver contigo
Diles que se acabó todo, que el dolor se ha ido
Diles que ya por fin he encontrado un motivo
No hay dolor ni castigo que me mate, amigo
Diles que ya me perdoné y estoy en paz conmigo

Busco todo aquello que fue, quemando el tiempo
Pero nadie dijo perder, hoy estoy hecho
Y aquello que nunca encontré, pido lo siento
Por el daño que me causé

Por el daño que me causé
Por el daño que me causé",0.25,neutral
Left Me To Die,Ely Waves;Beautiful Beats,0.876,0.378,0.373,119.962,0.264,0.0,-14.653,0.225,sad,"You flew to New York
And left me to die
And now I
Live in LA to keep you off my mind
Down in Miami, still thinking about you
Flew to LA, and I’m drinking about you
This shit is a waste of my time
You used what you could and then you pushed me aside, inside I have died
I guess I’m way better alone, just me and my bro’s, that’s how goes
You heated me up, just to pull me in close and then went and done choose
Somebody else, that ain’t me
Froze into place, I’m alone in this sea full of people won’t ever see
The pain in my heart that’s just bleeds, these sharks are circling me
Looking for someone to eat
And to you I’m just feed, so you threw me in deep
Drowning, 6 feet, wish that I left you before I was meat
The pictures of us on my phone, select and delete
You flew to New York
And left me to die
And now I
Live in LA to keep you off my mind
Doesn’t matter where I go, you’re still on my mind
I wish I could ghost, so I did
Thought you were the one, till you left me here broken, a mess
Now I’m viewing the bubbles, not sending the text
I took off my vest for you, even stopped vetting you
Put off the goals in my life, to make room for you
You were the person that I felt the closet to
Now I be asking myself to get over you
But you just keep stalking my ig and scrolling through twitter likes, hoping to get a bite
And I couldn’t tell you to stop, cause every time that we speak it’s a fight
You were dimming my light
From sundown to sun up
You just had to one up me baby?
Why did I drive me to crazy? Been thinking that lately I’m better alone
You left me to die on my own
You flew to New York
And left me to die
And now I
Live in LA to keep you off my mind",0.05990109427609427,neutral
Who's Your Farmer,Chris Janson,0.618,0.861,0.798,110.054,0.0108,0.0,-3.692,0.0427,country,"Who's your farmer? Who's your roughneck?
Who’s your curved bill, dirty boots thrown on the back porch redneck?
Who’s the one you fix a drink, watch out over your kitchen sink?
Turn you on like a fire alarmer
Girl, who’s your farmer?

Who keeps plantin' them kisses on your South Georgia lips?
Dancin’ in the rain with my hands on your hips
Who lays your life out in pretty little rows?
Who keeps that red dirt between your pretty toes?
Aw, say my name, let it echo through the holler
Who’s your farmer?

Who’s your John Deere? Who’s your cold beer?
Who’s the arms around you on a four-wheeler flyin’ through a hayfield?
Who’s your crooked smile in a t-shirt tan?
Homegrown southern charmer
Who’s your farmer?

Who keeps plantin' them kisses on your South Georgia lips?
Dancin’ in the rain with my hands on your hips
Who lays your life out in pretty little rows?
Who keeps that red dirt between your pretty toes?
Aw, say my name, let it echo through the holler
Who’s your farmer?


Who works harder on lovin’ you than any ol’ hard-earned dollar?
Tell me, who’s your farmer?
Girl, come on up here, let me show you how to drop a row marker
Tell me, who’s your farmer?

Who keeps plantin' them kisses on your South Georgia lips?
Dancin’ in the rain with my hands on your hips
Who lays your life out in pretty little rows?
Who keeps that red dirt between your pretty toes?
Aw, say my name, let it echo through the holler
Who’s your farmer?
And say my name, let it echo through the holler
Who’s your farmer?

Aw, who’s your farmer, baby?",-0.0032894736842105205,neutral
Acid Rush - Extended Vokal mixX,Mike Dunn,0.787,0.897,0.629,124.992,0.00688,0.902,-10.278,0.056,chicago-house,"The Mabbot street entrance of nighttown, before which stretches an uncobbled transiding set with skeleton tracks, red and green will-o'-the-wisps and danger signals. Rows of flimsy houses with gaping doors. Rare lamps with faint rainbow fans. Round Rabaiotti's halted ice gondola stunted men and women squabble. They grab wafers between which are wedged lumps of coal and copper snow. Sucking, they scatter slowly. Children. The swancomb of the gondola, highreared, forges on through the murk, white and blue under a lighthouse. Whistles call and answer.
THE CALLS Wait, my love, and I'll be with you.
THE ANSWERS Round behind the stable.
(A deaf mute idiot with goggle eyes, his shapeless mouth dribbling, jerks past, shaken in Saint Vitus' dance. A chain of children's hands imprisons him.)
THE CHILDREN Kithoguel Salute.
THE IDIOT (Lifts a palsied left arm and gurgles.) Grhahute!
THE CHILDREN Where's the great light?
THE IDIOT (Gobbing.) Ghaghahest.
(They release him. He jerks on. A pygmy woman swings on a rope slung between the railings, counting. A form sprawled against a dustbin and muffled by its arm and hat moves, groans, grinding growling teeth, and snores again. On a step a gnome totting among a rubbish tip crouches to shoulder a sack of rags and bones. A crone standing by with a smoky oil lamp rams the last bottle in the maw of his sack. He heaves his booty, tugs askew his peaked cap and hobbles off mutely. The crone makes back for her lair swaying her lamp. A bandy child, asquat on the doorstep with a papershuttlecock, crawls sidling after her in spurts, clutches her skirt, scrambles up. A drunken navvy ups with both hands the railings of an area, lurching heavily. At a corner two night watch in shoulder capes, their hands upon their staffholsters, loom tall. A plate crashes; a woman screams; a child wails. Oaths of a man roar, mutter, cease. Figures wander, lurk, peer from warrens. In a room lit by a candle stuck in a bottleneck a slut combs out the tatts from the hair of a scrofulous child. Cissy Caffrey's voice, still young, sings shrill from a lane.)
CISSY CAFFREY

I gave it to Molly
Because she was jolly,
The leg of the duck
The leg of the duck.

(Private Cart and Private Compton, swaggersticks tight in their oxters, as they march unsteadily rightaboutface and burst together from their mouths a volleyed fart. Laughter of men from the lane. A hoarse virago retorts.)
THE VIRAGO Signs on you, hairy arse. More power the Cavan girl.
CISSY CAFFREY More luck to me. Cavan, Cootehill and Belturbet.
(She sings.)
I gave it to Nelly
To stick in her belly
The leg of the duck
The leg of the duck.

(Private Cart and Private Compton turn and counterretort, their tunics bloodbright in a lampglow, black sockets of caps on their blond copper polls. Stephen Dedalus and Lynch pass through the crowd close to the redcoats.)
PRIVATE COMPTON (Jerks his finger.) Way for the parson.
PRIVATE CARR (Turns and calls.) What ho, parson!
CISSY CAFFREY (Her voice soaring higher.)
She has it, she got it,
Wherever she put it
The leg of the duck.

(Stephen, flourishing the ashplant in his left hand, chants with joy the introit for paschal time. Lynch, his jockey cap low on his brow, attends him, a sneer of discontent wrinkling his face.)
STEPHEN Vidi aquam egredientem de templo a latere dextro. Alleluia.
(The famished snaggletusks of an elderly bawd protrude from a doorway.)
THE BAWD (Her voice whispering huskily.) Sst! Come here till I tell you. Maidenhead inside. Sst.
STEPHEN (Altius aliqantulum) Et omnes ad quos pervenit acqua ista.
THE BAWD (Spits in their trail her jet of venom.) Trinity medicals. Fallopian tube. All prick and no pence.
(Edy Boardman, sniffling, crouched with Bertha Supple, draws her shawl across her nostrils.)
EDY BOARDMAN (Bickering.) And say the one: I seen you up Faithful place with your squarepusher, the greaser off the railway, in his cometobed hat. Did you, says I. That's not for you to say, says I. You never seen me in the mantrap with a married highlander, says I. The likes of her! Stag that one is. Stubborn as a mule! And her walking with two fellows the one time, Kildbride the enginedriver and lancecorporal Oliphant.
STEPHEN (Triumphaliter.) Salvi facti i sunt.
(He flourishes his ashplant shivering the lamp image, shattering light over the world. A liver and white spaniel on the prowl slinks after him, growling. Lynch scar's it with a kick.)
LYNCH So that?
STEPHEN (Looks behind.) So that gesture, not music, not odours, would be a universal language, the gift of tongues rendering visible not the lay sense but the first entelechy, the structural rhythm.
LYNCH Pornosophical philotheology. Metaphysics in Mecklenburg street!
STEPHEN We have shrewridden Shakespeare and henpecked Socrates. Even the allwisest stagyrite was bitted, bridled and mounted by a light of love.
LYNCH Ba!
STEPHEN Anyway, who wants two gestures to illustrate a loaf and a jug? This movement illustrates the loaf and jug of bread and wine in Omar. Hold my stick.
LYNCH Damn your yellow stick. Where are we going?
STEPHEN Lecherous lynx, to la belle dame sans merci, Georgina Johnson, ad deam qui laetificat juventutem meam.
(Stephen thrusts the ashplant on him and slowly holds out his hands, his head going back till both hands are a span from his breast, down turned in planes intersecting, the fingers about to part, the left being higher.)
LYNCH Which is the jug of bread? It skills not. That or the customhouse. Illustrate thou. Here take your crutch and walk.
(They pass. Tommy Caffrey scrambles to a gaslamp and, clasping, climbs in spasms. From the top spur he slides down. Jacky Caffrey clasps to climb. The navvy lurches against the lamp. The twins scuttle off in the dark. The navvy, swaying, presses a forefinger against a wing of his nose and ejects from the farther nostril a long liquid jet of snot. Shouldering the lamp he staggers away through the crowd with his flaring cresset.
